"State","Abb","Population","PctSchoolLunch","PctPoverty","RestPP","RestHun","SAT_PCT_TESTED","SATReading","SATMath","SATWriting","SATComb","ACT_PCT_TESTED","ACTEnglish","ACTMath","ACTReading","ACTScience","ACTComb","PROP_GRAD","TaxYorN","ElectoralVote","B","restaurants","Pop","UnemploymentRate"
ALABAMA,AL,4858979,57.5,18.7,0.001614537,0.161453672,7,544,534,530,1608,78,20.5,19.5,21,20.2,20.4,0.819,Y,9,82.1,7845,3138078,6
ALASKA,AK,738432,40.6,9.3,0.001872887,0.187288742,52,508,505,482,1495,37,20.1,21.2,21.7,21,21.1,0.914,N,3,91.4,1383,438805,6.7
ARIZONA,AZ,6828065,50,18.6,0.001364076,0.136407606,35,521,528,502,1551,50,18.5,20.3,19.6,19.4,19.6,0.852,Y,11,84.2,9314,4087214,5.8
ARKANSAS,AR,2978204,60.9,19.7,0.001663419,0.166341862,4,572,570,555,1697,90,19.9,19.9,20.5,20.1,20.2,0.827,Y,6,82.4,4954,1904692,3.8
CALIFORNIA,CA,39144818,54.1,16.8,0.001785881,0.178588134,57,498,512,495,1505,26,21.6,22.8,22.3,21.5,22.2,0.808,Y,55,80.6,69908,23797844,5.4
COLORADO,CO,5456574,40.9,13,0.002061183,0.206118345,14,578,581,562,1721,100,19.9,20.4,20.5,20.5,20.4,0.897,Y,9,89.3,11247,3265425,3.7
CONNECTICUT,CT,3590886,35.7,10.7,0.002193609,0.219360904,85,508,512,512,1532,27,24,23.9,24.4,23.3,24,0.886,Y,7,88.6,7877,2413922,5.8
DC,DC,672228,62.5,18.9,0.00332179,0.332178963,91,473,466,461,1400,38,19.8,20.5,21,19.7,20.4,0.871,Y,3,87.1,2233,407576,6
DELAWARE,DE,945934,48.9,12.4,0.001996968,0.199696808,100,451,457,443,1351,15,22.5,22.8,23.4,22.4,22.9,0.874,Y,3,87.4,1889,595938,4.2
FLORIDA,FL,20271272,57.6,17,0.001930959,0.193095924,67,492,490,475,1457,74,18.7,19.7,20.4,19.1,19.6,0.855,N,29,85.3,39143,12949216,4.7
GEORGIA,GA,10214860,58.7,19,0.001752349,0.175234903,75,490,487,475,1452,51,20.2,20.3,21.2,20.5,20.7,0.84,Y,16,83.9,17900,6152481,5.1
HAWAII,HI,1431603,49.3,10.8,0.002354005,0.235400457,64,481,504,468,1453,40,19,20.8,20,19.9,20.1,0.901,Y,4,90.4,3370,915429,3.3
IDAHO,ID,1654930,49,15.6,0.001875004,0.187500378,99,454,459,451,1364,49,21.5,21.8,22.7,21.8,22.1,0.885,Y,4,88.4,3103,970727,3.7
ILLINOIS,IL,12859995,49,14.7,0.002114231,0.211423099,5,600,617,590,1807,100,20.2,20.7,20.4,20.5,20.6,0.866,Y,20,86.4,27189,8405202,6.3
INDIANA,IN,6619680,48,15.9,0.001755372,0.175537186,70,493,500,477,1470,38,21,21.9,22.1,21.4,21.7,0.866,Y,11,86.6,11620,4199481,4.8
IOWA,IA,3123899,40,12.7,0.001961971,0.196197124,3,592,601,570,1763,66,21.5,21.6,22.5,22.2,22.1,0.903,Y,6,90.5,6129,1999820,4
KANSAS,KS,2911641,48.9,14,0.001780439,0.178043928,6,589,595,568,1752,75,21.2,21.7,22.3,21.7,21.8,0.895,Y,6,89.7,5184,1822400,3.8
KENTUCKY,KY,4425092,54.4,18.8,0.00169714,0.169713986,5,585,584,572,1741,100,19.2,19.2,19.9,19.7,19.6,0.817,Y,8,81.7,7510,2881383,5
LOUISIANA,LA,4670724,67.1,19.8,0.001792228,0.17922275,5,556,553,546,1655,100,19.4,19.2,19.7,19.2,19.5,0.816,Y,8,82.2,8371,2899261,6.2
MAINE,ME,1329328,43,14,0.011582544,1.158254396,95,462,467,451,1380,8,23.4,23.3,23.8,22.9,23.5,0.902,Y,4,90.2,15397,934144,3.7
MARYLAND,MD,6006401,41.8,10.1,0.001848028,0.184802846,73,497,500,486,1483,21,21.8,22.3,22.7,21.9,22.3,0.882,Y,10,88.2,11100,3828550,4.3
MASSACHUSETTS,MA,6794422,35.1,11.9,0.002266124,0.226612359,83,515,529,509,1553,22,23.8,24.4,24.4,23.2,24.1,0.889,Y,11,89,15397,4419291,4.2
MICHIGAN,MI,9922576,48,17,0.00162357,0.162357033,4,590,610,582,1782,100,19.1,19.9,20,20.2,19.9,0.884,Y,16,87.9,16110,6566864,4.6
MINNESOTA,MN,5489594,37.1,11.2,0.001768619,0.176861895,6,595,608,577,1780,74,22.2,23.1,23.1,22.9,23,0.916,Y,10,91.5,9709,3490475,3.8
MISSISSIPPI,MS,2992333,71.5,24,0.001538599,0.153859881,3,568,547,558,1673,95,18.8,18.3,19.1,18.8,18.9,0.803,Y,6,80.4,4604,1892687,5.9
MISSOURI,MO,6083672,46.5,15.9,0.001792174,0.17921742,4,596,595,582,1773,74,21.4,21,21.9,21.6,21.6,0.868,Y,10,86.8,10903,3943728,4.5
MONTANA,MT,1032949,40.3,16.5,0.002554821,0.25548212,25,539,540,516,1595,72,20.2,21.4,21.9,21.2,21.3,0.914,Y,3,90.8,2639,663484,4.2
NEBRASKA,NE,1896190,43.8,13.2,0.00208998,0.208998043,4,584,583,567,1734,84,21.1,21.1,21.8,21.5,21.5,0.903,Y,5,89.8,3963,1173189,3
NEVADA,NV,2890845,54.1,15.8,0.001938188,0.193818762,48,492,494,468,1454,32,20.4,21.3,21.7,21.1,21.3,0.842,N,6,83.9,5603,1764861,6.4
NEW HAMPSHIRE,NH,1330608,26.3,8.7,0.002301955,0.23019552,70,524,528,515,1567,19,23.6,23.6,24.2,23.2,23.8,0.912,Y,4,91.3,3063,901420,2.8
NEW JERSEY,NJ,8958013,35.5,11.4,0.002004574,0.200457401,78,499,522,500,1521,23,22.5,23.6,23.1,22.2,23,0.876,Y,14,87.4,17957,5926262,5.1
NEW MEXICO,NM,2085109,68.5,21.9,0.001577855,0.157785516,12,550,545,531,1626,70,19,19.7,20.4,20.1,19.9,0.831,Y,5,82.8,3290,1316741,6.2
NEW YORK,NY,19795791,49.7,16,0.002307612,0.230761175,76,485,501,477,1463,26,22.6,23.8,23.7,23.1,23.4,0.846,Y,29,84.7,45681,12999473,4.7
NORTH CAROLINA,NC,10042802,52.4,17.9,0.001809156,0.180915645,62,495,506,478,1479,100,17.1,19.6,18.8,18.7,18.7,0.841,Y,15,84.3,18169,6229136,4.9
NORTH DAKOTA,ND,756927,32.8,11.8,0.002212895,0.221289503,2,609,609,581,1799,98,19.5,20.8,20.5,20.7,20.5,0.9,Y,3,90.1,1675,435706,3.2
OHIO,OH,11613423,43.6,16,0.00189634,0.189634012,17,548,556,531,1635,72,21.2,21.5,22.2,21.8,21.8,0.878,Y,18,87.6,22023,7688501,5
OKLAHOMA,OK,3911338,61.2,16.8,0.001677687,0.167768677,5,571,569,549,1689,75,20.4,20.1,21.4,20.8,20.8,0.859,Y,7,85.6,6562,2411080,0.8
OREGON,OR,4028977,53.2,16.7,0.002389192,0.23891921,49,520,520,499,1539,34,20.8,21.6,21.9,21.3,21.5,0.889,Y,7,89.1,9626,2579164,4.8
PENNSYLVANIA,PA,12802503,40.2,13.7,0.001986643,0.198664277,71,494,504,482,1480,18,22.2,23,23,22.2,22.7,0.879,Y,20,87.9,25434,8611136,5.6
RHODE ISLAND,RI,1056298,43.9,14.3,0.002648874,0.264887371,72,491,490,487,1468,14,22.4,22.4,23.3,22,22.7,0.843,Y,4,84.7,2798,708587,5.5
SOUTH CAROLINA,SC,4896146,56.8,18.6,0.001813671,0.181367141,64,484,487,465,1436,51,19.7,20.3,20.8,20.3,20.4,0.836,Y,9,83.6,8880,3031432,5.4
SOUTH DAKOTA,SD,858469,38.6,14.2,0.002118888,0.211888839,3,592,601,567,1760,78,20.9,21.8,22.1,22.1,21.9,0.898,N,3,89.9,1819,525090,2.7
TENNESSEE,TN,6600299,57.5,17.8,0.001599321,0.159932149,8,574,569,566,1709,100,19.3,19.1,19.8,19.4,19.5,0.832,Y,11,83.1,10556,4205976,4.1
TEXAS,TX,27469114,51.1,17.5,0.001589786,0.158978553,59,477,499,461,1437,37,19.8,21.5,21,20.9,20.9,0.804,N,38,79.9,43670,15443904,4.5
UTAH,UT,2995919,47.6,12.7,0.001585156,0.158515634,6,569,566,549,1684,100,19.9,20.2,21.3,20.8,20.7,0.906,Y,6,90.4,4749,1542258,4
VERMONT,VT,626042,39.2,12.3,0.002218701,0.221870098,61,516,519,505,1540,26,22.7,22.8,23.4,22.6,23,0.91,Y,3,91,1389,429206,3.2
VIRGINIA,VA,8382993,39.2,11.7,0.001772517,0.177251729,71,516,514,498,1528,26,22.3,22.5,23.1,22.2,22.6,0.866,Y,13,86.6,14859,5279997,3.7
WASHINGTON,WA,7170351,44.5,14.1,0.002097108,0.209710794,60,515,523,499,1537,21,22.1,22.8,23.3,22.5,22.8,0.898,N,12,89.7,15037,4436636,5.8
WEST VIRGINIA,WV,1844128,52.8,18.5,0.001734153,0.173415294,15,514,501,498,1513,63,20.5,19.5,21.3,20.6,20.6,0.826,Y,5,82.8,3198,1287738,6
WISCONSIN,WI,5771337,40.8,13.5,0.002108697,0.210869682,4,591,604,576,1771,71,21.5,22,22.3,22.2,22.1,0.898,Y,10,89.8,12170,3771680,4.2
WYOMING,WY,586107,37.1,10.9,0.002226556,0.22265559,4,581,588,588,1757,100,18.6,19.7,20.2,20,19.8,0.919,N,3,91.8,1305,364833,5.7
